int	int	string	int	string	string	string	string	int	int[]	int[]	int[]	int	int[]	float[]	int[]
101403	10014	厚德地板	3	Furniture_Lounge_shining_groundroom1_name	Furniture_Lounge_shining_groundroom1_desc	xxs_shining_groundroom1_icon	xxs_shining_groundroom1		8	54	1#45425	950	1#5	2#3	
101404	10014	厚德地板	4	Furniture_Lounge_Egypt_groundroom1_name	Furniture_Lounge_Egypt_groundroom1_desc	xxs_Egypt_groundroom1_icon	xxs_Egypt_groundroom1		8	105	1#57850	1380	1#5	3#4	
101405	10014	厚德地板	5	Furniture_Lounge_vampire_groundroom1_name	Furniture_Lounge_vampire_groundroom1_desc	xxs_vampire_groundroom1_icon	xxs_vampire_groundroom1		8	171	1#70540	1490	1#5	4#5	
101406	10014	厚德地板	6	Furniture_Lounge_initial_groundroom1_name	Furniture_Lounge_initial_groundroom1_desc	xxs_initial_groundroom1_icon	xxs_initial_groundroom1		8	252	1#80560	1645	1#5	5#6	
101407	10014	厚德地板	7	Furniture_Lounge_initial_groundroom1_name	Furniture_Lounge_initial_groundroom1_desc	xxs_initial_groundroom1_icon	xxs_initial_groundroom1		8	348	1#91327	1800	1#5	7#7	
101408	10014	厚德地板	8	Furniture_Lounge_initial_groundroom1_name	Furniture_Lounge_initial_groundroom1_desc	xxs_initial_groundroom1_icon	xxs_initial_groundroom1		8	459	1#110830	1900	1#5	9#8	
101409	10014	厚德地板	9	Furniture_Lounge_initial_groundroom1_name	Furniture_Lounge_initial_groundroom1_desc	xxs_initial_groundroom1_icon	xxs_initial_groundroom1		8	585	1#123452	2100	1#5	12#9	
101410	10014	厚德地板	10	Furniture_Lounge_initial_groundroom1_name	Furniture_Lounge_initial_groundroom1_desc	xxs_initial_groundroom1_icon	xxs_initial_groundroom1		8	726	1#139580	2200	1#5	16#10	
101501	10015	载物地板	1	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	0	1#60	90	1	1	
101502	10015	载物地板	2	Furniture_Lounge_pinks_groundhouse_name	Furniture_Lounge_pinks_groundhouse_desc	xxs_pinks_groundhouse_icon	xxs_pinks_groundhouse		8	18	1#10200	1225	1#5	1#2	
101503	10015	载物地板	3	Furniture_Lounge_shining_groundhouse_name	Furniture_Lounge_shining_groundhouse_desc	xxs_shining_groundhouse_icon	xxs_shining_groundhouse		8	54	1#58425	1495	1#5	2#3	
101504	10015	载物地板	4	Furniture_Lounge_Egypt_groundhouse_name	Furniture_Lounge_Egypt_groundhouse_desc	xxs_Egypt_groundhouse_icon	xxs_Egypt_groundhouse		8	105	1#68550	1550	1#5	3#4	
101505	10015	载物地板	5	Furniture_Lounge_vampire_groundhouse_name	Furniture_Lounge_vampire_groundhouse_desc	xxs_vampire_groundhouse_icon	xxs_vampire_groundhouse		8	171	1#79650	1745	1#5	4#5	
101506	10015	载物地板	6	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	252	1#89450	1950	1#5	5#6	
101507	10015	载物地板	7	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	348	1#95327	2045	1#5	7#7	
101508	10015	载物地板	8	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	459	1#120820	2150	1#5	9#8	
101509	10015	载物地板	9	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	585	1#135580	2350	1#5	12#9	
101510	10015	载物地板	10	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	726	1#145560	2500	1#5	16#10	
101508	10015	载物地板	8	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	473	1#120820	2150	1#5	9#8	
101509	10015	载物地板	9	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	601	1#135580	2350	1#5	12#9	
101510	10015	载物地板	10	Furniture_Lounge_initial_groundhouse_name	Furniture_Lounge_initial_groundhouse_desc	xxs_initial_groundhouse_icon	xxs_initial_groundhouse		8	744	1#145560	2500	1#5	16#10	
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
